1962,FILM EDITING,n,The Longest Day,n
1962,FILM EDITING,n,Meredith Willson's The Music Man,n
1962,FILM EDITING,n,Mutiny on the Bounty,n
1963,FILM EDITING,n,Cleopatra,n
1963,FILM EDITING,y,How the West Was Won,n
1964,FILM EDITING,n,Becket,n
1964,FILM EDITING,y,Mary Poppins,n
1965,FILM EDITING,n,Doctor Zhivago,n
1966,FILM EDITING,n,The Russians Are Coming The Russians Are Coming,n
1966,FILM EDITING,n,The Sand Pebbles,n
1966,FILM EDITING,n,Who's Afraid of Virginia Woolf?,n
1967,FILM EDITING,n,Doctor Dolittle,n
1967,FILM EDITING,n,Guess Who's Coming to Dinner,n
1968,FILM EDITING,n,Funny Girl,n
1969,FILM EDITING,n,"Hello, Dolly!",n
1969,FILM EDITING,y,Z,n
1970,FILM EDITING,n,Airport,n
1970,FILM EDITING,n,M*A*S*H,n
1971,FILM EDITING,n,A Clockwork Orange,n
1972,FILM EDITING,n,Deliverance,n
1972,FILM EDITING,y,Cabaret,n
1973,FILM EDITING,n,American Graffiti,n
1973,FILM EDITING,n,The Exorcist,n
1974,FILM EDITING,n,Chinatown,n
1974,FILM EDITING,y,The Towering Inferno,n
1975,FILM EDITING,n,Dog Day Afternoon,n
1975,FILM EDITING,y,Jaws,n
1976,FILM EDITING,n,All the President's Men,n
1976,FILM EDITING,n,Bound for Glory,n
1976,FILM EDITING,n,Network,n
1977,FILM EDITING,n,Julia,n
1977,FILM EDITING,n,The Turning Point,n
1977,FILM EDITING,y,Star Wars,n
1978,FILM EDITING,n,Coming Home,n
1978,FILM EDITING,n,Midnight Express,n
1979,FILM EDITING,n,Apocalypse Now,n
1979,FILM EDITING,y,All That Jazz,n
1980,FILM EDITING,n,Coal Miner's Daughter,n
1980,FILM EDITING,n,The Elephant Man,n
1980,FILM EDITING,y,Raging Bull,n
1981,FILM EDITING,n,On Golden Pond,n
1981,FILM EDITING,n,Reds,n
1981,FILM EDITING,y,Raiders of the Lost Ark,n
1982,FILM EDITING,n,E.T. The Extra-Terrestrial,n
1982,FILM EDITING,n,Tootsie,n
1983,FILM EDITING,y,The Right Stuff,n
1984,FILM EDITING,n,A Passage to India,n
1984,FILM EDITING,y,The Killing Fields,n
1985,FILM EDITING,n,Prizzi's Honor,n
1985,FILM EDITING,y,Witness,n
1986,FILM EDITING,n,Hannah and Her Sisters,n
1986,FILM EDITING,n,The Mission,n
1987,FILM EDITING,n,Broadcast News,n
1987,FILM EDITING,n,Fatal Attraction,n
1988,FILM EDITING,n,Mississippi Burning,n
1989,FILM EDITING,y,Born on the Fourth of July,n
1990,FILM EDITING,n,Ghost,n
1990,FILM EDITING,n,"The Godfather, Part III",n
1990,FILM EDITING,n,Good Fellas,n
1991,FILM EDITING,y,JFK,n
1992,FILM EDITING,n,The Crying Game,n
1992,FILM EDITING,n,A Few Good Men,n
1993,FILM EDITING,n,The Fugitive,n
1993,FILM EDITING,n,In the Name of the Father,n
1993,FILM EDITING,n,The Piano,n
1994,FILM EDITING,n,Pulp Fiction,n
1994,FILM EDITING,n,The Shawshank Redemption,n
1995,FILM EDITING,n,Babe,n
1995,FILM EDITING,y,Apollo 13,n
1996,FILM EDITING,n,Fargo,n
1996,FILM EDITING,n,Jerry Maguire,n
1996,FILM EDITING,n,Shine,n
1997,FILM EDITING,n,As Good as It Gets,n
1997,FILM EDITING,n,Good Will Hunting,n
1997,FILM EDITING,n,L.A. Confidential,n
1998,FILM EDITING,n,Life Is Beautiful,n
1998,FILM EDITING,n,The Thin Red Line,n
1998,FILM EDITING,y,Saving Private Ryan,n
1999,FILM EDITING,n,The Cider House Rules,n
1999,FILM EDITING,n,The Insider,n
1999,FILM EDITING,n,The Sixth Sense,n
2000,FILM EDITING,n,"Crouching Tiger, Hidden Dragon",n
2000,FILM EDITING,y,Traffic,n
2001,FILM EDITING,n,The Lord of the Rings: The Fellowship of the Ring,n
2001,FILM EDITING,n,Moulin Rouge,n
2002,FILM EDITING,n,Gangs of New York,n
2002,FILM EDITING,n,The Hours,n
2002,FILM EDITING,n,The Lord of the Rings: The Two Towers,n
2002,FILM EDITING,n,The Pianist,n
2003,FILM EDITING,n,Master and Commander: The Far Side of the World,n
2003,FILM EDITING,n,Seabiscuit,n
2004,FILM EDITING,n,Finding Neverland,n
2004,FILM EDITING,n,Ray,n
2004,FILM EDITING,y,The Aviator,n
2005,FILM EDITING,n,Munich,n
2006,FILM EDITING,n,Babel,n
2007,FILM EDITING,n,There Will Be Blood,n
2008,FILM EDITING,n,The Curious Case of Benjamin Button,n
2008,FILM EDITING,n,Frost/Nixon,n
2008,FILM EDITING,n,Milk,n
2009,FILM EDITING,n,Avatar,n
2009,FILM EDITING,n,District 9,n
2009,FILM EDITING,n,Inglourious Basterds,n
2009,FILM EDITING,n,Precious: Based on the Novel 'Push' by Sapphire,n
2010,FILM EDITING,n,Black Swan,n
2010,FILM EDITING,n,The Fighter,n
2010,FILM EDITING,n,127 Hours,n
2010,FILM EDITING,y,The Social Network,n
2011,FILM EDITING,n,The Descendants,n
2011,FILM EDITING,n,Hugo,n
2011,FILM EDITING,n,Moneyball,n
2012,FILM EDITING,n,Life of Pi,n
2012,FILM EDITING,n,Lincoln,n
2012,FILM EDITING,n,Silver Linings Playbook,n
2012,FILM EDITING,n,Zero Dark Thirty,n
2013,FILM EDITING,n,American Hustle,n
2013,FILM EDITING,n,Captain Phillips,n
2013,FILM EDITING,n,Dallas Buyers Club,n
2013,FILM EDITING,y,Gravity,n
2014,FILM EDITING,n,American Sniper,n
2014,FILM EDITING,n,Boyhood,n
2014,FILM EDITING,n,The Grand Budapest Hotel,n
2014,FILM EDITING,n,The Imitation Game,n
2014,FILM EDITING,y,Whiplash,n
2015,FILM EDITING,n,The Big Short,n
2015,FILM EDITING,n,The Revenant,n
2015,FILM EDITING,y,Mad Max: Fury Road,n
2016,FILM EDITING,n,Arrival,n
2016,FILM EDITING,n,Hell or High Water,n
2016,FILM EDITING,n,La La Land,n
2016,FILM EDITING,y,Hacksaw Ridge,n
2017,FILM EDITING,n,"Three Billboards Outside Ebbing, Missouri",n
2017,FILM EDITING,y,Dunkirk,n
1962,FILM EDITING,y,Lawrence of Arabia,y
1964,FILM EDITING,n,My Fair Lady,y
1965,FILM EDITING,y,The Sound of Music,y
1967,FILM EDITING,y,In the Heat of the Night,y
1968,FILM EDITING,n,Oliver!,y
1969,FILM EDITING,n,Midnight Cowboy,y
1970,FILM EDITING,y,Patton,y
1971,FILM EDITING,y,The French Connection,y
1972,FILM EDITING,n,The Godfather,y
1973,FILM EDITING,y,The Sting,y
1975,FILM EDITING,n,One Flew over the Cuckoo's Nest,y
1976,FILM EDITING,y,Rocky,y
1978,FILM EDITING,y,The Deer Hunter,y
1979,FILM EDITING,n,Kramer vs. Kramer,y
1981,FILM EDITING,n,Chariots of Fire,y
1982,FILM EDITING,y,Gandhi,y
1983,FILM EDITING,n,Terms of Endearment,y
1984,FILM EDITING,n,Amadeus,y
1985,FILM EDITING,n,Out of Africa,y
1986,FILM EDITING,y,Platoon,y
1987,FILM EDITING,y,The Last Emperor,y
1988,FILM EDITING,n,Rain Man,y
1989,FILM EDITING,n,Driving Miss Daisy,y
1990,FILM EDITING,y,Dances With Wolves,y
1991,FILM EDITING,n,The Silence of the Lambs,y
1992,FILM EDITING,y,Unforgiven,y
1993,FILM EDITING,y,Schindler's List,y
1994,FILM EDITING,y,Forrest Gump,y
1995,FILM EDITING,n,Braveheart,y
1996,FILM EDITING,y,The English Patient,y
1997,FILM EDITING,y,Titanic,y
1998,FILM EDITING,n,Shakespeare in Love,y
1999,FILM EDITING,n,American Beauty,y
2000,FILM EDITING,n,Gladiator,y
2001,FILM EDITING,n,A Beautiful Mind,y
2002,FILM EDITING,y,Chicago,y
2003,FILM EDITING,y,The Lord of the Rings: The Return of the King,y
2004,FILM EDITING,n,Million Dollar Baby,y
2005,FILM EDITING,y,Crash,y
2006,FILM EDITING,y,The Departed,y
2007,FILM EDITING,n,No Country for Old Men,y
2008,FILM EDITING,y,Slumdog Millionaire,y
2009,FILM EDITING,y,The Hurt Locker,y
2010,FILM EDITING,n,The King's Speech,y
2011,FILM EDITING,n,The Artist,y
2012,FILM EDITING,y,Argo,y
2013,FILM EDITING,n,12 Years a Slave,y
2015,FILM EDITING,n,Spotlight,y
2016,FILM EDITING,n,Moonlight,y
2017,FILM EDITING,n,The Shape of Water,y
